urn:cts:mid:catullus.007:1	Quaeris, quot mihi basiationes
urn:cts:mid:catullus.007:2	tuae, Lesbia, sint satis superque.
urn:cts:mid:catullus.007:3	quam magnus numerus Libyssae harenae
urn:cts:mid:catullus.007:4	lasarpiciferis iacet Cyrenis
urn:cts:mid:catullus.007:5	oraclum Iovis inter aestuosi
urn:cts:mid:catullus.007:6	et Batti veteris sacrum sepulcrum;
urn:cts:mid:catullus.007:7	aut quam sidera multa, cum tacet nox,
urn:cts:mid:catullus.007:8	furtivos hominum vident amores:
urn:cts:mid:catullus.007:9	tam te basia multa basiare
urn:cts:mid:catullus.007:10	vesano satis et super Catullo est,
urn:cts:mid:catullus.007:11	quae nec pernumerare curiosi
urn:cts:mid:catullus.007:12	possint nec mala fascinare lingua.
