urn:cts:mid:catullus.012:1	Marrucine Asini, manu sinistra
urn:cts:mid:catullus.012:2	non belle uteris: in ioco atque vino
urn:cts:mid:catullus.012:3	tollis lintea neglegentiorum.
urn:cts:mid:catullus.012:4	hoc salsum esse putas? fugit te, inepte:
urn:cts:mid:catullus.012:5	quamvis sordida res et invenusta est.
urn:cts:mid:catullus.012:6	non credis mihi? crede Pollioni
urn:cts:mid:catullus.012:7	fratri, qui tua furta vel talento
urn:cts:mid:catullus.012:8	mutari velit: est enim leporum
urn:cts:mid:catullus.012:9	differtus puer ac facetiarum.
urn:cts:mid:catullus.012:10	quare aut hendecasyllabos trecentos
urn:cts:mid:catullus.012:11	exspecta, aut mihi linteum remitte,
urn:cts:mid:catullus.012:12	quod me non movet aestimatione,
urn:cts:mid:catullus.012:13	verum est mnemosynum mei sodalis.
urn:cts:mid:catullus.012:14	nam sudaria Saetaba ex Hiberis
urn:cts:mid:catullus.012:15	miserunt mihi muneri Fabullus
urn:cts:mid:catullus.012:16	et Veranius: haec amem necesse est
urn:cts:mid:catullus.012:17	ut Veraniolum meum et Fabullum.
