urn:cts:mid:catullus.021:1	Aureli, pater esuritionum,
urn:cts:mid:catullus.021:2	non harum modo, sed quot aut fuerunt
urn:cts:mid:catullus.021:3	aut sunt aut aliis erunt in annis,
urn:cts:mid:catullus.021:4	pedicare cupis meos amores.
urn:cts:mid:catullus.021:5	nec clam: nam simul es, iocaris una,
urn:cts:mid:catullus.021:6	haerens ad latus omnia experiris.
urn:cts:mid:catullus.021:7	frustra: nam insidias mihi instruentem
urn:cts:mid:catullus.021:8	tangam te prior irrumatione.
urn:cts:mid:catullus.021:9	atque id si faceres satur, tacerem:
urn:cts:mid:catullus.021:10	nunc ipsum id doleo, quod esurire
urn:cts:mid:catullus.021:11	me me puer et sitire discet.
urn:cts:mid:catullus.021:12	quare desine, dum licet pudico,
urn:cts:mid:catullus.021:13	ne finem facias, sed irrumatus.
