urn:cts:mid:catullus.031:1	Paene insularum, Sirmio, insularumque
urn:cts:mid:catullus.031:2	ocelle, quascumque in liquentibus stagnis
urn:cts:mid:catullus.031:3	marique vasto fert uterque Neptunus,
urn:cts:mid:catullus.031:4	quam te libenter quamque laetus inviso,
urn:cts:mid:catullus.031:5	vix mi ipse credens Thuniam atque Bithunos
urn:cts:mid:catullus.031:6	liquisse campos et videre te in tuto.
urn:cts:mid:catullus.031:7	o quid solutis est beatius curis,
urn:cts:mid:catullus.031:8	cum mens onus reponit, ac peregrino
urn:cts:mid:catullus.031:9	labore fessi venimus larem ad nostrum,
urn:cts:mid:catullus.031:10	desideratoque acquiescimus lecto?
urn:cts:mid:catullus.031:11	hoc est quod unum est pro laboribus tantis.
urn:cts:mid:catullus.031:12	salve, o venusta Sirmio, atque ero gaude
urn:cts:mid:catullus.031:13	gaudente, vosque, o Lydiae lacus undae,
urn:cts:mid:catullus.031:14	ridete quidquid est domi cachinnorum.
