urn:cts:mid:catullus.032:1	Amabo, mea dulcis Ipsitilla,
urn:cts:mid:catullus.032:2	meae deliciae, mei lepores,
urn:cts:mid:catullus.032:3	iube ad te veniam meridiatum.
urn:cts:mid:catullus.032:4	et si iusseris, illud adiuvato,
urn:cts:mid:catullus.032:5	ne quis liminis obseret tabellam,
urn:cts:mid:catullus.032:6	neu tibi lubeat foras abire,
urn:cts:mid:catullus.032:7	sed domi maneas paresque nobis
urn:cts:mid:catullus.032:8	novem continuas fututiones.
urn:cts:mid:catullus.032:9	verum si quid ages, statim iubeto:
urn:cts:mid:catullus.032:10	nam pransus iaceo et satur supinus
urn:cts:mid:catullus.032:11	pertundo tunicamque palliumque.
