urn:cts:mid:catullus.035:1	Poetae tenero, meo sodali,
urn:cts:mid:catullus.035:2	velim Caecilio, papyre, dicas
urn:cts:mid:catullus.035:3	Veronam veniat, Noui relinquens
urn:cts:mid:catullus.035:4	Comi moenia Lariumque litus.
urn:cts:mid:catullus.035:5	nam quasdam volo cogitationes
urn:cts:mid:catullus.035:6	amici accipiat sui meique.
urn:cts:mid:catullus.035:7	quare, si sapiet, viam vorabit,
urn:cts:mid:catullus.035:8	quamvis candida milies puella
urn:cts:mid:catullus.035:9	euntem revocet, manusque collo
urn:cts:mid:catullus.035:10	ambas iniciens roget morari.
urn:cts:mid:catullus.035:11	quae nunc, si mihi vera nuntiantur,
urn:cts:mid:catullus.035:12	illum deperit impotente amore.
urn:cts:mid:catullus.035:13	nam quo tempore legit incohatam
urn:cts:mid:catullus.035:14	Dindymi dominam, ex eo misellae
urn:cts:mid:catullus.035:15	ignes interiorem edunt medullam.
urn:cts:mid:catullus.035:16	ignosco tibi, Sapphica puella
urn:cts:mid:catullus.035:17	musa doctior; est enim venuste
urn:cts:mid:catullus.035:18	Magna Caecilio incohata Mater.
