urn:cts:mid:catullus.044.txt:1	O Funde noster seu Sabine seu Tiburs
urn:cts:mid:catullus.044.txt:2	(nam te esse Tiburtem autumant, quibus non est
urn:cts:mid:catullus.044.txt:3	cordi Catullum laedere; at quibus cordi est,
urn:cts:mid:catullus.044.txt:4	quovis Sabinum pignore esse contendunt),
urn:cts:mid:catullus.044.txt:5	sed seu Sabine sive verius Tiburs,
urn:cts:mid:catullus.044.txt:6	fui libenter in tua suburbana
urn:cts:mid:catullus.044.txt:7	villa, malamque pectore expuli tussim,
urn:cts:mid:catullus.044.txt:8	non inmerenti quam mihi meus venter,
urn:cts:mid:catullus.044.txt:9	dum sumptuosas appeto, dedit, cenas.
urn:cts:mid:catullus.044.txt:10	nam, Sestianus dum volo esse conviva,
urn:cts:mid:catullus.044.txt:11	orationem in Antium petitorem
urn:cts:mid:catullus.044.txt:12	plenam veneni et pestilentiae legi.
urn:cts:mid:catullus.044.txt:13	hic me gravedo frigida et frequens tussis
urn:cts:mid:catullus.044.txt:14	quassavit usque, dum in tuum sinum fugi,
urn:cts:mid:catullus.044.txt:15	et me recuravi otioque et urtica.
urn:cts:mid:catullus.044.txt:16	quare refectus maximas tibi grates
urn:cts:mid:catullus.044.txt:17	ago, meum quod non es ulta peccatum.
urn:cts:mid:catullus.044.txt:18	nec deprecor iam, si nefaria scripta
urn:cts:mid:catullus.044.txt:19	Sesti recepso, quin gravedinem et tussim
urn:cts:mid:catullus.044.txt:20	non mihi, sed ipsi Sestio ferat frigus,
urn:cts:mid:catullus.044.txt:21	qui tunc vocat me, cum malum librum legi.
