urn:cts:mid:catullus.3:1	Lugete, o Veneres Cupidinesque,
urn:cts:mid:catullus.3:2	et quantum est hominum venustiorum:
urn:cts:mid:catullus.3:3	passer mortuus est meae puellae,
urn:cts:mid:catullus.3:4	passer, deliciae meae puellae,
urn:cts:mid:catullus.3:5	quem plus illa oculis suis amabat.
urn:cts:mid:catullus.3:6	nam mellitus erat suamque norat
urn:cts:mid:catullus.3:7	ipsam tam bene quam puella matrem,
urn:cts:mid:catullus.3:8	nec sese a gremio illius movebat,
urn:cts:mid:catullus.3:9	sed circumsiliens modo huc modo illuc
urn:cts:mid:catullus.3:10	ad solam dominam usque pipiabat.
urn:cts:mid:catullus.3:11	qui nunc it per iter tenebricosum
urn:cts:mid:catullus.3:12	illuc, unde negant redire quemquam.
urn:cts:mid:catullus.3:13	at vobis male sit, malae tenebrae
urn:cts:mid:catullus.3:14	Orci, quae omnia bella devoratis:
urn:cts:mid:catullus.3:15	tam bellum mihi passerem abstulistis
urn:cts:mid:catullus.3:16	o factum male! o miselle passer!
urn:cts:mid:catullus.3:17	tua nunc opera meae puellae
urn:cts:mid:catullus.3:18	flendo turgiduli rubent ocelli.
