urn:cts:mid:catullus.34:1	Dianae sumus in fide
urn:cts:mid:catullus.34:2	puellae et pueri integri:
urn:cts:mid:catullus.34:3	Dianam pueri integri
urn:cts:mid:catullus.34:4	puellaeque canamus.
urn:cts:mid:catullus.34:5	
urn:cts:mid:catullus.34:6	o Latonia, maximi
urn:cts:mid:catullus.34:7	magna progenies Iovis,
urn:cts:mid:catullus.34:8	quam mater prope Deliam
urn:cts:mid:catullus.34:9	deposiuit olivam,
urn:cts:mid:catullus.34:10	
urn:cts:mid:catullus.34:11	montium domina ut fores
urn:cts:mid:catullus.34:12	silvarumque virentium
urn:cts:mid:catullus.34:13	saltuumque reconditorum
urn:cts:mid:catullus.34:14	amniumque sonantum:
urn:cts:mid:catullus.34:15	
urn:cts:mid:catullus.34:16	tu Lucina dolentibus
urn:cts:mid:catullus.34:17	Iuno dicta puerperis,
urn:cts:mid:catullus.34:18	tu potens Trivia et notho es
urn:cts:mid:catullus.34:19	dicta lumine Luna.
urn:cts:mid:catullus.34:20	
urn:cts:mid:catullus.34:21	tu cursu, dea, menstruo
urn:cts:mid:catullus.34:22	metiens iter annuum,
urn:cts:mid:catullus.34:23	rustica agricolae bonis
urn:cts:mid:catullus.34:24	tecta frugibus exples.
urn:cts:mid:catullus.34:25	
urn:cts:mid:catullus.34:26	sis quocumque tibi placet
urn:cts:mid:catullus.34:27	sancta nomine, Romulique,
urn:cts:mid:catullus.34:28	antique ut solita es, bona
urn:cts:mid:catullus.34:29	sospites ope gentem.
