urn:cts:mid:catullus.36:1	Annales Volusi, cacata carta,
urn:cts:mid:catullus.36:2	votum soluite pro mea puella.
urn:cts:mid:catullus.36:3	nam sanctae Veneri Cupidinique
urn:cts:mid:catullus.36:4	vovit, si sibi restitutus essem
urn:cts:mid:catullus.36:5	desissemque truces vibrare iambos,
urn:cts:mid:catullus.36:6	electissima pessimi poetae
urn:cts:mid:catullus.36:7	scripta tardipedi deo daturam
urn:cts:mid:catullus.36:8	infelicibus ustulanda lignis.
urn:cts:mid:catullus.36:9	et hoc pessima se puella vidit
urn:cts:mid:catullus.36:10	iocose lepide vovere divis.
urn:cts:mid:catullus.36:11	nunc o caeruleo creata ponto,
urn:cts:mid:catullus.36:12	quae sanctum Idalium Vriosque apertos
urn:cts:mid:catullus.36:13	quaeque Ancona Cnidumque harundinosam
urn:cts:mid:catullus.36:14	colis quaeque Amathunta quaeque Golgos
urn:cts:mid:catullus.36:15	quaeque Durrachium Hadriae tabernam,
urn:cts:mid:catullus.36:16	acceptum face redditumque votum,
urn:cts:mid:catullus.36:17	si non illepidum neque invenustum est.
urn:cts:mid:catullus.36:18	at vos interea venite in ignem,
urn:cts:mid:catullus.36:19	pleni ruris et inficetiarum.
urn:cts:mid:catullus.36:20	annales Volusi, cacata carta.
