urn:cts:mid:catullus.37:1	Salax taberna vosque contubernales,
urn:cts:mid:catullus.37:2	a pilleatis nona fratribus pila,
urn:cts:mid:catullus.37:3	solis putatis esse mentulas vobis,
urn:cts:mid:catullus.37:4	solis licere, quidquid est puellarum,
urn:cts:mid:catullus.37:5	confutuere et putare ceteros hircos?
urn:cts:mid:catullus.37:6	an, continenter quod sedetis insulsi
urn:cts:mid:catullus.37:7	centum an ducenti, non putatis ausurum
urn:cts:mid:catullus.37:8	me una ducentos irrumare sessores?
urn:cts:mid:catullus.37:9	atqui putate: namque totius vobis
urn:cts:mid:catullus.37:10	frontem tabernae sopionibus scribam.
urn:cts:mid:catullus.37:11	puella nam mi, quae meo sinu fugit,
urn:cts:mid:catullus.37:12	amata tantum quantum amabitur nulla,
urn:cts:mid:catullus.37:13	pro qua mihi sunt magna bella pugnata,
urn:cts:mid:catullus.37:14	consedit istic. hanc boni beatique
urn:cts:mid:catullus.37:15	omnes amatis, et quidem, quod indignum est,
urn:cts:mid:catullus.37:16	omnes pusilli et semitarii moechi;
urn:cts:mid:catullus.37:17	tu praeter omnes une de capillatis,
urn:cts:mid:catullus.37:18	cuniculosae Celtiberiae fili,
urn:cts:mid:catullus.37:19	Egnati. opaca quem bonum facit barba
urn:cts:mid:catullus.37:20	et dens Hibera defricatus urina.
