urn:cts:mid:catullus.45:1	Acmen Septimius suos amores
urn:cts:mid:catullus.45:2	tenens in gremio 'mea' inquit 'Acme,
urn:cts:mid:catullus.45:3	ni te perdite amo atque amare porro
urn:cts:mid:catullus.45:4	omnes sum assidve paratus annos,
urn:cts:mid:catullus.45:5	quantum qui pote plurimum perire,
urn:cts:mid:catullus.45:6	solus in Libya Indiaque tosta
urn:cts:mid:catullus.45:7	caesio veniam obvius leoni.'
urn:cts:mid:catullus.45:8	hoc ut dixit, Amor sinistra ut ante
urn:cts:mid:catullus.45:9	dextra sternuit approbationem.
urn:cts:mid:catullus.45:10	     at Acme leviter caput reflectens
urn:cts:mid:catullus.45:11	et dulcis pueri ebrios ocellos
urn:cts:mid:catullus.45:12	illo purpureo ore suaviata,
urn:cts:mid:catullus.45:13	'sic' inquit 'mea vita Septimille,
urn:cts:mid:catullus.45:14	huic uni domino usque serviamus,
urn:cts:mid:catullus.45:15	ut multo mihi maior acriorque
urn:cts:mid:catullus.45:16	ignis mollibus ardet in medullis.'
urn:cts:mid:catullus.45:17	hoc ut dixit, Amor sinistra ut ante
urn:cts:mid:catullus.45:18	dextra sternuit approbationem.
urn:cts:mid:catullus.45:19	     nunc ab auspicio bono profecti
urn:cts:mid:catullus.45:20	mutuis animis amant amantur.
urn:cts:mid:catullus.45:21	unam Septimius misellus Acmen
urn:cts:mid:catullus.45:22	mauult quam Syrias Britanniasque:
urn:cts:mid:catullus.45:23	uno in Septimio fidelis Acme
urn:cts:mid:catullus.45:24	facit delicias libidinisque.
urn:cts:mid:catullus.45:25	quis ullos homines beatiores
urn:cts:mid:catullus.45:26	vidit, quis Venerem auspicatiorem?
