urn:cts:mid:catullus.50:1	Hesterno, Licini, die otiosi
urn:cts:mid:catullus.50:2	multum lusimus in meis tabellis,
urn:cts:mid:catullus.50:3	ut convenerat esse delicatos:
urn:cts:mid:catullus.50:4	scribens versiculos uterque nostrum
urn:cts:mid:catullus.50:5	ludebat numero modo hoc modo illoc,
urn:cts:mid:catullus.50:6	reddens mutua per iocum atque vinum.
urn:cts:mid:catullus.50:7	atque illinc abii tuo lepore
urn:cts:mid:catullus.50:8	incensus, Licini, facetiisque,
urn:cts:mid:catullus.50:9	ut nec me miserum cibus iuvaret
urn:cts:mid:catullus.50:10	nec somnus tegeret quiete ocellos,
urn:cts:mid:catullus.50:11	sed toto indomitus furore lecto
urn:cts:mid:catullus.50:12	versarer, cupiens videre lucem,
urn:cts:mid:catullus.50:13	ut tecum loquerer, simulque ut essem.
urn:cts:mid:catullus.50:14	at defessa labore membra postquam
urn:cts:mid:catullus.50:15	semimortua lectulo iacebant,
urn:cts:mid:catullus.50:16	hoc, iucunde, tibi poema feci,
urn:cts:mid:catullus.50:17	ex quo perspiceres meum dolorem.
urn:cts:mid:catullus.50:18	nunc audax cave sis, precesque nostras,
urn:cts:mid:catullus.50:19	oramus, cave despuas, ocelle,
urn:cts:mid:catullus.50:20	ne poenas Nemesis reposcat a te.
urn:cts:mid:catullus.50:21	est vehemens dea: laedere hanc caveto.
