urn:cts:mid:catullus.58b:1	Non custos si fingar ille Cretum,
urn:cts:mid:catullus.58b:2	non Ladas ego pinnipesve Perseus,
urn:cts:mid:catullus.58b:3	non si Pegaseo ferar volatu,
urn:cts:mid:catullus.58b:4	non Rhesi niveae citaeque bigae;
urn:cts:mid:catullus.58b:5	adde huc plumipedas volatilesque,
urn:cts:mid:catullus.58b:6	ventorumque simul require cursum,
urn:cts:mid:catullus.58b:7	quos iunctos, Cameri, mihi dicares:
urn:cts:mid:catullus.58b:8	defessus tamen omnibus medullis
urn:cts:mid:catullus.58b:9	et multis languoribus peresus
urn:cts:mid:catullus.58b:10	essem te mihi, amice, quaeritando.
