urn:cts:mid:catullus.6:1	Flavi, delicias tuas Catullo,
urn:cts:mid:catullus.6:2	ni sint illepidae atque inelegantes,
urn:cts:mid:catullus.6:3	velles dicere nec tacere posses.
urn:cts:mid:catullus.6:4	verum nescio quid febriculosi
urn:cts:mid:catullus.6:5	scorti diligis: hoc pudet fateri.
urn:cts:mid:catullus.6:6	nam te non viduas iacere noctes
urn:cts:mid:catullus.6:7	nequiquam tacitum cubile clamat
urn:cts:mid:catullus.6:8	sertis ac Syrio fragrans olivo,
urn:cts:mid:catullus.6:9	pulvinusque peraeque et hic et ille
urn:cts:mid:catullus.6:10	attritus, tremulique quassa lecti
urn:cts:mid:catullus.6:11	argutatio inambulatioque.
urn:cts:mid:catullus.6:12	nam inista prevalet nihil tacere.
urn:cts:mid:catullus.6:13	cur? non tam latera ecfututa pandas,
urn:cts:mid:catullus.6:14	ni tu quid facias ineptiarum.
urn:cts:mid:catullus.6:15	quare, quidquid habes boni malique,
urn:cts:mid:catullus.6:16	dic nobis. volo te ac tuos amores
urn:cts:mid:catullus.6:17	ad caelum lepido vocare versu.
