urn:cts:mid:catullus.61:1	Collis o Heliconii
urn:cts:mid:catullus.61:2	cultor, Uraniae genus,
urn:cts:mid:catullus.61:3	qui rapis teneram ad virum
urn:cts:mid:catullus.61:4	virginem, o Hymenaee Hymen,
urn:cts:mid:catullus.61:5	     o Hymen Hymenaee;
urn:cts:mid:catullus.61:6	
urn:cts:mid:catullus.61:7	cinge tempora floribus
urn:cts:mid:catullus.61:8	suave olentis amaraci,
urn:cts:mid:catullus.61:9	flammeum cape laetus, huc
urn:cts:mid:catullus.61:10	huc veni, niveo gerens
urn:cts:mid:catullus.61:11	     luteum pede soccum;
urn:cts:mid:catullus.61:12	
urn:cts:mid:catullus.61:13	excitusque hilari die,
urn:cts:mid:catullus.61:14	nuptialia concinens
urn:cts:mid:catullus.61:15	voce carmina tinnula,
urn:cts:mid:catullus.61:16	pelle humum pedibus, manu
urn:cts:mid:catullus.61:17	     pineam quate taedam.
urn:cts:mid:catullus.61:18	
urn:cts:mid:catullus.61:19	namque Iunia Manlio,
urn:cts:mid:catullus.61:20	qualis Idalium colens
urn:cts:mid:catullus.61:21	venit ad Phrygium Venus
urn:cts:mid:catullus.61:22	iudicem, bona cum bona
urn:cts:mid:catullus.61:23	     nubet alite virgo,
urn:cts:mid:catullus.61:24	
urn:cts:mid:catullus.61:25	floridis velut enitens
urn:cts:mid:catullus.61:26	myrtus Asia ramulis
urn:cts:mid:catullus.61:27	quos Hamadryades deae
urn:cts:mid:catullus.61:28	ludicrum sibi roscido
urn:cts:mid:catullus.61:29	     nutriunt umore.
urn:cts:mid:catullus.61:30	
urn:cts:mid:catullus.61:31	quare age, huc aditum ferens,
urn:cts:mid:catullus.61:32	perge linquere Thespiae
urn:cts:mid:catullus.61:33	rupis Aonios specus,
urn:cts:mid:catullus.61:34	nympha quos super irrigat
urn:cts:mid:catullus.61:35	     frigerans Aganippe.
urn:cts:mid:catullus.61:36	
urn:cts:mid:catullus.61:37	ac domum dominam voca
urn:cts:mid:catullus.61:38	coniugis cupidam novi,
urn:cts:mid:catullus.61:39	mentem amore revinciens,
urn:cts:mid:catullus.61:40	ut tenax hedera huc et huc
urn:cts:mid:catullus.61:41	     arborem implicat errans.
urn:cts:mid:catullus.61:42	
urn:cts:mid:catullus.61:43	vosque item simul, integrae
urn:cts:mid:catullus.61:44	virgines, quibus advenit
urn:cts:mid:catullus.61:45	par dies, agite in modum
urn:cts:mid:catullus.61:46	dicite, o Hymenaee Hymen,
urn:cts:mid:catullus.61:47	     o Hymen Hymenaee.
urn:cts:mid:catullus.61:48	
urn:cts:mid:catullus.61:49	ut libentius, audiens
urn:cts:mid:catullus.61:50	se citarier ad suum
urn:cts:mid:catullus.61:51	munus, huc aditum ferat
urn:cts:mid:catullus.61:52	dux bonae Veneris, boni
urn:cts:mid:catullus.61:53	     coniugator amoris.
urn:cts:mid:catullus.61:54	
urn:cts:mid:catullus.61:55	quis deus magis est ama-
urn:cts:mid:catullus.61:56	tis petendus amantibus?
urn:cts:mid:catullus.61:57	quem colent homines magis
urn:cts:mid:catullus.61:58	caelitum, o Hymenaee Hymen,
urn:cts:mid:catullus.61:59	     o Hymen Hymenaee?
urn:cts:mid:catullus.61:60	
urn:cts:mid:catullus.61:61	te suis tremulus parens
urn:cts:mid:catullus.61:62	invocat, tibi virgines
urn:cts:mid:catullus.61:63	zonula solvunt sinus,
urn:cts:mid:catullus.61:64	te timens cupida novos
urn:cts:mid:catullus.61:65	     captat aure maritus.
urn:cts:mid:catullus.61:66	
urn:cts:mid:catullus.61:67	tu fero iuveni in manus
urn:cts:mid:catullus.61:68	floridam ipse puellulam
urn:cts:mid:catullus.61:69	dedis a gremio suae
urn:cts:mid:catullus.61:70	matris, o Hymenaee Hymen,
urn:cts:mid:catullus.61:71	     o Hymen Hymenaee.
urn:cts:mid:catullus.61:72	
urn:cts:mid:catullus.61:73	nil potest sine te Venus,
urn:cts:mid:catullus.61:74	fama quod bona comprobet,
urn:cts:mid:catullus.61:75	commodi capere, at potest
urn:cts:mid:catullus.61:76	te volente. quis huic deo
urn:cts:mid:catullus.61:77	     compararier ausit?
urn:cts:mid:catullus.61:78	
urn:cts:mid:catullus.61:79	nulla quit sine te domus
urn:cts:mid:catullus.61:80	liberos dare, nec parens
urn:cts:mid:catullus.61:81	stirpe nitier; ac potest
urn:cts:mid:catullus.61:82	te volente. quis huic deo
urn:cts:mid:catullus.61:83	     compararier ausit?
urn:cts:mid:catullus.61:84	
urn:cts:mid:catullus.61:85	quae tuis careat sacris,
urn:cts:mid:catullus.61:86	non queat dare praesides
urn:cts:mid:catullus.61:87	terra finibus: at queat
urn:cts:mid:catullus.61:88	te volente. quis huic deo
urn:cts:mid:catullus.61:89	     compararier ausit?
urn:cts:mid:catullus.61:90	
urn:cts:mid:catullus.61:91	claustra pandite ianuae.
urn:cts:mid:catullus.61:92	virgo adest. viden ut faces
urn:cts:mid:catullus.61:93	splendidas quatiunt comas?
urn:cts:mid:catullus.61:94	* * * * * * * * 
urn:cts:mid:catullus.61:95	* * * * * * * * 
urn:cts:mid:catullus.61:96	* * * * * * * * 
urn:cts:mid:catullus.61:97	* * * * * * * * 
urn:cts:mid:catullus.61:98	tardet ingenuus pudor.
urn:cts:mid:catullus.61:99	quem tamen magis audiens,
urn:cts:mid:catullus.61:100	flet quod ire necesse est.
urn:cts:mid:catullus.61:101	flere desine. non tibi Au-
urn:cts:mid:catullus.61:102	runculeia periculum est,
urn:cts:mid:catullus.61:103	ne qua femina pulcrior
urn:cts:mid:catullus.61:104	clarum ab Oceano diem
urn:cts:mid:catullus.61:105	     uiderit venientem.
urn:cts:mid:catullus.61:106	
urn:cts:mid:catullus.61:107	talis in vario solet
urn:cts:mid:catullus.61:108	divitis domini hortulo
urn:cts:mid:catullus.61:109	stare flos hyacinthinus.
urn:cts:mid:catullus.61:110	sed moraris, abit dies.
urn:cts:mid:catullus.61:111	     prodeas nova nupta.
urn:cts:mid:catullus.61:112	
urn:cts:mid:catullus.61:113	prodeas nova nupta, si
urn:cts:mid:catullus.61:114	iam videtur, et audias
urn:cts:mid:catullus.61:115	nostra verba. viden? faces
urn:cts:mid:catullus.61:116	aureas quatiunt comas:
urn:cts:mid:catullus.61:117	     prodeas nova nupta.
urn:cts:mid:catullus.61:118	
urn:cts:mid:catullus.61:119	non tuus levis in mala
urn:cts:mid:catullus.61:120	deditus vir adultera,
urn:cts:mid:catullus.61:121	probra turpia persequens,
urn:cts:mid:catullus.61:122	a tuis teneris volet
urn:cts:mid:catullus.61:123	     secubare papillis,
urn:cts:mid:catullus.61:124	
urn:cts:mid:catullus.61:125	lenta sed velut adsitas
urn:cts:mid:catullus.61:126	vitis implicat arbores,
urn:cts:mid:catullus.61:127	implicabitur in tuum
urn:cts:mid:catullus.61:128	complexum. sed abit dies:
urn:cts:mid:catullus.61:129	     prodeas nova nupta.
urn:cts:mid:catullus.61:130	
urn:cts:mid:catullus.61:131	o cubile, quod omnibus
urn:cts:mid:catullus.61:132	* * * * * * * * 
urn:cts:mid:catullus.61:133	* * * * * * * * 
urn:cts:mid:catullus.61:134	* * * * * * * * 
urn:cts:mid:catullus.61:135	     candido pede lecti,
urn:cts:mid:catullus.61:136	
urn:cts:mid:catullus.61:137	quae tuo veniunt ero,
urn:cts:mid:catullus.61:138	quanta gaudia, quae vaga
urn:cts:mid:catullus.61:139	nocte, quae medio die
urn:cts:mid:catullus.61:140	gaudeat! sed abit dies:
urn:cts:mid:catullus.61:141	     prodeas nova nupta.
urn:cts:mid:catullus.61:142	
urn:cts:mid:catullus.61:143	tollite, o pueri, faces:
urn:cts:mid:catullus.61:144	flammeum video venire.
urn:cts:mid:catullus.61:145	ite concinite in modum
urn:cts:mid:catullus.61:146	'io Hymen Hymenaee io,
urn:cts:mid:catullus.61:147	     io Hymen Hymenaee.'
urn:cts:mid:catullus.61:148	
urn:cts:mid:catullus.61:149	ne diu taceat procax
urn:cts:mid:catullus.61:150	Fescennina iocatio,
urn:cts:mid:catullus.61:151	nec nuces pueris neget
urn:cts:mid:catullus.61:152	desertum domini audiens
urn:cts:mid:catullus.61:153	     concubinus amorem.
urn:cts:mid:catullus.61:154	
urn:cts:mid:catullus.61:155	da nuces pueris, iners
urn:cts:mid:catullus.61:156	concubine! satis diu
urn:cts:mid:catullus.61:157	lusisti nucibus: lubet
urn:cts:mid:catullus.61:158	iam servire Talasio.
urn:cts:mid:catullus.61:159	     concubine, nuces da.
urn:cts:mid:catullus.61:160	
urn:cts:mid:catullus.61:161	sordebant tibi villicae,
urn:cts:mid:catullus.61:162	concubine, hodie atque heri:
urn:cts:mid:catullus.61:163	nunc tuum cinerarius
urn:cts:mid:catullus.61:164	tondet os. miser a miser
urn:cts:mid:catullus.61:165	     concubine, nuces da.
urn:cts:mid:catullus.61:166	
urn:cts:mid:catullus.61:167	diceris male te a tuis
urn:cts:mid:catullus.61:168	unguentate glabris marite
urn:cts:mid:catullus.61:169	abstinere, sed abstine.
urn:cts:mid:catullus.61:170	io Hymen Hymenaee io,
urn:cts:mid:catullus.61:171	     io Hymen Hymenaee.
urn:cts:mid:catullus.61:172	
urn:cts:mid:catullus.61:173	scimus haec tibi quae licent
urn:cts:mid:catullus.61:174	sola cognita, sed marito
urn:cts:mid:catullus.61:175	ista non eadem licent.
urn:cts:mid:catullus.61:176	io Hymen Hymenaee io,
urn:cts:mid:catullus.61:177	     io Hymen Hymenaee.
urn:cts:mid:catullus.61:178	
urn:cts:mid:catullus.61:179	nupta, tu quoque quae tuus
urn:cts:mid:catullus.61:180	vir petet cave ne neges,
urn:cts:mid:catullus.61:181	ni petitum aliunde eat.
urn:cts:mid:catullus.61:182	io Hymen Hymenaee io,
urn:cts:mid:catullus.61:183	     io Hymen Hymenaee.
urn:cts:mid:catullus.61:184	
urn:cts:mid:catullus.61:185	en tibi domus ut potens
urn:cts:mid:catullus.61:186	et beata viri tui,
urn:cts:mid:catullus.61:187	quae tibi sine serviat
urn:cts:mid:catullus.61:188	(io Hymen Hymenaee io,
urn:cts:mid:catullus.61:189	     io Hymen Hymenaee)
urn:cts:mid:catullus.61:190	
urn:cts:mid:catullus.61:191	usque dum tremulum movens
urn:cts:mid:catullus.61:192	cana tempus anilitas
urn:cts:mid:catullus.61:193	omnia omnibus annuit.
urn:cts:mid:catullus.61:194	io Hymen Hymenaee io,
urn:cts:mid:catullus.61:195	     io Hymen Hymenaee.
urn:cts:mid:catullus.61:196	
urn:cts:mid:catullus.61:197	transfer omine cum bono
urn:cts:mid:catullus.61:198	limen aureolos pedes,
urn:cts:mid:catullus.61:199	rasilemque subi forem.
urn:cts:mid:catullus.61:200	io Hymen Hymenaee io,
urn:cts:mid:catullus.61:201	     io Hymen Hymenaee.
urn:cts:mid:catullus.61:202	
urn:cts:mid:catullus.61:203	aspice intus ut accubans
urn:cts:mid:catullus.61:204	vir tuus Tyrio in toro
urn:cts:mid:catullus.61:205	totus immineat tibi.
urn:cts:mid:catullus.61:206	io Hymen Hymenaee io,
urn:cts:mid:catullus.61:207	     io Hymen Hymenaee.
urn:cts:mid:catullus.61:208	
urn:cts:mid:catullus.61:209	illi non minus ac tibi
urn:cts:mid:catullus.61:210	pectore uritur intimo
urn:cts:mid:catullus.61:211	flamma, sed penite magis.
urn:cts:mid:catullus.61:212	io Hymen Hymenaee io,
urn:cts:mid:catullus.61:213	     io Hymen Hymenaee.
urn:cts:mid:catullus.61:214	
urn:cts:mid:catullus.61:215	mitte brachiolum teres,
urn:cts:mid:catullus.61:216	praetextate, puellulae:
urn:cts:mid:catullus.61:217	iam cubile adeat viri.
urn:cts:mid:catullus.61:218	io Hymen Hymenaee io,
