urn:cts:mid:catullus.8:1	Miser Catulle, desinas ineptire,
urn:cts:mid:catullus.8:2	et quod vides perisse perditum ducas.
urn:cts:mid:catullus.8:3	fulsere quondam candidi tibi soles,
urn:cts:mid:catullus.8:4	cum ventitabas quo puella ducebat
urn:cts:mid:catullus.8:5	amata nobis quantum amabitur nulla.
urn:cts:mid:catullus.8:6	ibi illa multa cum iocosa fiebant,
urn:cts:mid:catullus.8:7	quae tu volebas nec puella nolebat,
urn:cts:mid:catullus.8:8	fulsere vere candidi tibi soles.
urn:cts:mid:catullus.8:9	nunc iam illa non vult: tu quoque impotens noli,
urn:cts:mid:catullus.8:10	nec quae fugit sectare, nec miser vive,
urn:cts:mid:catullus.8:11	sed obstinata mente perfer, obdura.
urn:cts:mid:catullus.8:12	vale puella, iam Catullus obdurat,
urn:cts:mid:catullus.8:13	nec te requiret nec rogabit invitam.
urn:cts:mid:catullus.8:14	at tu dolebis, cum rogaberis nulla.
urn:cts:mid:catullus.8:15	scelesta, vae te, quae tibi manet vita?
urn:cts:mid:catullus.8:16	quis nunc te adibit? cui videberis bella?
urn:cts:mid:catullus.8:17	quem nunc amabis? cuius esse diceris?
urn:cts:mid:catullus.8:18	quem basiabis? cui labella mordebis?
urn:cts:mid:catullus.8:19	at tu, Catulle, destinatus obdura.
