Word Concatenation,Different Lexical Entities?
ἐπί_ἐπί_ἐπί_ἐπί_ἐπὶ_ἐπὶ_ἐπὶ_ἐπὶ_ἐπί_ἐπὶ_ἐπὶ_ἐπί_ἐπί_ἐπί_,NO
ἐκείνων_ἐκείνων_,NO
πρό_πρὸ_πρό_,NO
ἢ_ἤ_ἦ_,YES
ἀναγνωστέον_ἀναγνωστέον_,NO
ἀπό_ἀπὸ_,NO
οὖν_οὖν_,NO
ἀλλά_ἀλλὰ_,NO
παρά_παρὰ_,NO
δὲ_δέ_,NO
ἑξῆς_ἑξῆς_ἑξῆς_,NO
ὑπό_ὑπὸ_,NO
ταῦτα_ταῦτα_,NO
περὶ_περί_,NO
σύν_σὺν_σύν_σύν_,NO
αὐτῷ_αὐτῷ_αὐτῷ_αὐτῷ_,NO
οὐδέ_οὐδὲ_οὐδέ_,NO
πρός_πρὸς_πρὸς_πρὸς_πρὸς_πρὸς_,NO
πάρ_πὰρ_,NO
αὐτῶν_αὐτῶν_,NO
ἐν_ἔν_,NO
μετά_μετὰ_,NO
ἄψ_ἂψ_,NO
ἐπὶ_ἐπὶ_ἐπὶ_ἐπὶ_,NO
μὲν_μέν_,NO
ὑπέρ_ὑπέρ_,NO
τροπή_τροπή_,NO
ἐνί_ἐνί_ἐνί_ἐνί_ἐνὶ_ἐνὶ_ἐνὶ_ἐνὶ_ἐνὶ_ἐνὶ_,NO
ἀμφί_ἀμφὶ_,NO
ἂν_ἄν_ἄν_,NO
τὸ_τό_,NO
ἂν_ἄν_,NO
στικτέον_στικτέον_,NO
ἦεν_ἦεν_ἦεν_ἦεν_ἦεν_,NO
ὦκα_ὦκα_,NO
ἐπεί_ἐπεὶ_,NO

εἶπεν_εἶπεν_,NO

τέλος_τέλος_τέλος_,NO

κὰδ_κάδ_,NO

οὗτος_οὗτος_,NO

τὰς_τᾶς_τᾶς_,NO

τῶν_τῶν_,NO

συναπτέον_συναπτέον_συναπτέον_,NO

ἶφι_ἶφι_,NO

ἕτερα_ἕτερα_,NO

πλεονασμὸν_πλεονασμόν_,NO

λέγουσι_λέγουσι_,NO

ποιήτην_ποιήτην_,NO

ἰατρικῆς_ἰατρικῆς_,NO

ἑκατέρου_ἑκατέρου_,NO

χειρός_χειρός_,NO

ποτὶ_ποτί_,NO

κοῖλα_κοῖλα_,NO

χαλκευτικῶν_χαλκευτικῶν_,NO

σφυρῶν_σφυρῶν_,NO

ἔκθλιψιν_ἔκθλιψιν_,NO

ἰστέον_ἰστέον_ἰστέον_,NO

μέτρον_μέτρον_,NO

ἑξῆς_ἑξῆς_,NO

ὅτι_ὅτι_,NO

κἀκ_κἀκ_,NO

ἔχε_ἔχε_,NO

πένθεϊ_πένθεϊ_,NO

ἀτλήτω_ἀτλήτω_,NO

παραστήσῃ_παραστήσῃ_,NO

παρέκ_παρέκ_,NO

τρέπει_τρέπει_,NO

αἰγίλιπος_αἰγίλιπος_,NO

εἶχεν_εἶχεν_,NO

ἑτέροις_ἑτέροις_,NO

οἵδε_οἵδε_,NO

αἶαν_αἶαν_,NO
