Book Number, # of lines in book (adjusted for replacements), diple, dotted diple, obelos, asteriskos
1,611,35,41,40,21
2,877,99,56,44,16
3,461,51,28,35,1
4,544,75,12,10,6
5,609,105,14,5,9
6,504,94,4,8,8
7,482,66,6,34,4
8,561,88,19,44,17
9,713,126,11,11,4
10,579,98,4,13,9
11,848,145,12,34,8
12,471,60,9,10,0
13,836,101,9,3,2
14,522,70,10,21,7
15,746,87,10,56,12
16,867,86,18,6,5
17,427,43,6,0,5
18,616,57,7,26,0
19,222,33,5,13,0
20,503,54,4,32,5
21,611,79,5,14,0
22,515,71,3,19,2
23,897,113,3,16,5
24,704,87,2,30,4
